Question,Quantifier,Ratio,Target,Group,Image,Rightresponse,Wrongresponse,Agreement,Disagreement,Variablename
questionmanyblue-3.mp4,Many,60,Blue,2,60percentblue-up.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manysixty
questionmanyblue-1.mp4,Many,60,Blue,2,60percentblue-down.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manysixty
questionmanyblue-2.mp4,Many,60,Blue,2,60percentblue-left.jpg,Green,Red,agree-dothinkmany-blue-3.mp4,disagree-dothinkmany-blue-3.mp4,Manysixty
questionmanyblue-1.mp4,Many,60,Blue,2,60percentblue-right.jpg,Green,Red,agree-dothinkmany-blue-2.mp4,disagree-dothinkmany-blue-2.mp4,Manysixty
questionmanyblue-3.mp4,Many,60,Blue,2,60percentblue-scat.jpg,Green,Red,agree-dothinkmany-blue-1.mp4,disagree-dothinkmany-blue-1.mp4,Manysixty
questionmanyorange-3.mp4,Many,60,Orange,2,40percentblue-up.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manysixty
questionmanyorange-1.mp4,Many,60,Orange,2,40percentblue-down.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manysixty
questionmanyorange-2.mp4,Many,60,Orange,2,40percentblue-left.jpg,Green,Red,agree-dothinkmany-orange-3.mp4,disagree-dothinkmany-orange-3.mp4,Manysixty
questionmanyorange-1.mp4,Many,60,Orange,2,40percentblue-right.jpg,Green,Red,agree-dothinkmany-orange-2.mp4,disagree-dothinkmany-orange-2.mp4,Manysixty
questionmanyorange-3.mp4,Many,60,Orange,2,40percentblue-scat.jpg,Green,Red,agree-dothinkmany-orange-1.mp4,disagree-dothinkmany-orange-1.mp4,Manysixty
questionfewblue-3.mp4,Few,60,Blue,2,60percentblue-up.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Fewsixty
questionfewblue-1.mp4,Few,60,Blue,2,60percentblue-down.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Fewsixty
questionfewblue-2.mp4,Few,60,Blue,2,60percentblue-left.jpg,Red,Green,agree-dontthinkfew-blue-3.mp4,disagree-dontthinkfew-blue-3.mp4,Fewsixty
questionfewblue-1.mp4,Few,60,Blue,2,60percentblue-right.jpg,Red,Green,agree-dontthinkfew-blue-2.mp4,disagree-dontthinkfew-blue-2.mp4,Fewsixty
questionfewblue-3.mp4,Few,60,Blue,2,60percentblue-scat.jpg,Red,Green,agree-dontthinkfew-blue-1.mp4,disagree-dontthinkfew-blue-1.mp4,Fewsixty
questionfeworange-3.mp4,Few,60,Orange,2,40percentblue-up.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Fewsixty
questionfeworange-1.mp4,Few,60,Orange,2,40percentblue-down.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Fewsixty
questionfeworange-2.mp4,Few,60,Orange,2,40percentblue-left.jpg,Red,Green,agree-dontthinkfew-orange-3.mp4,disagree-dontthinkfew-orange-3.mp4,Fewsixty
questionfeworange-1.mp4,Few,60,Orange,2,40percentblue-right.jpg,Red,Green,agree-dontthinkfew-orange-2.mp4,disagree-dontthinkfew-orange-2.mp4,Fewsixty
questionfeworange-3.mp4,Few,60,Orange,2,40percentblue-scat.jpg,Red,Green,agree-dontthinkfew-orange-1.mp4,disagree-dontthinkfew-orange-1.mp4,Fewsixty
